Fare,Credit,Cash
0-10,35.92584296756155,64.07415703243845
10-20,50.19975044468106,49.800249555318935
20-30,61.927084699026345,38.072915300973655
30-40,64.63158668725477,35.36841331274523
40-50,64.23449886749717,35.765501132502834
50-60,49.211461512006856,50.78853848799314
60-70,61.534309021113245,38.465690978886755
70-80,64.44389151530231,35.55610848469769
80-90,65.614581018004,34.385418981996
90-,63.28335255670896,36.71664744329104
