Fare,Credit,Cash
0-10,56.81745805565398,43.18254194434601
10-20,64.17140451155818,35.82859548844182
20-30,68.06860189647821,31.931398103521776
30-40,68.25781669353267,31.742183306467325
40-50,66.43073046318901,33.569269536810985
50-60,64.79572218890303,35.20427781109697
60-70,66.70429998069861,33.29570001930139
70-80,68.68681226610065,31.313187733899344
80-90,72.87640162284765,27.123598377152348
90-,78.82839946621641,21.1716005337836
