season,hood,m_hood,cnt
Spring,Central Park,New York City-Manhattan	,1036467
Spring,Carnegie Hill,New York City-Manhattan	,1001224
Spring,Harlem,New York City-Manhattan	,893952
Spring,Yorkville,New York City-Manhattan	,860847
Spring,Williamsburg,New York City-Brooklyn	,745192
Spring,Battery Park,New York City-Manhattan	,733702
Spring,Astoria-Long Island City,New York City-Queens	,714820
Spring,Morningside Heights,New York City-Manhattan	,675084
Spring,North Sutton Area,New York City-Manhattan	,657561
Spring,Fort Green,New York City-Brooklyn	,593561
Spring,Little Italy,New York City-Manhattan	,525614
Spring,East Harlem,New York City-Manhattan	,490038
Spring,Sunny Side,New York City-Queens	,462147
Spring,Washington Heights,New York City-Manhattan	,460815
Spring,Bedford-Stuyvesant,New York City-Brooklyn	,374656
Spring,Park Slope,New York City-Brooklyn	,345563
Spring,Hamilton Heights,New York City-Manhattan	,316946
Spring,Chinatown,New York City-Manhattan	,247191
Spring,Downtown,New York City-Brooklyn	,216012
Spring,Bushwick,New York City-Brooklyn	,206867
Spring,Jackson Heights,New York City-Queens	,187799
Spring,Carroll Gardens,New York City-Brooklyn	,166635
Spring,Boerum Hill,New York City-Brooklyn	,135144
Spring,Woodside,New York City-Queens	,125162
Spring,Forest Hills,New York City-Queens	,121802
Spring,Cobble Hill,New York City-Brooklyn	,74934
Spring,Mott Haven,New York City-Bronx	,74873
Spring,Bay Ridge,New York City-Brooklyn	,70298
Spring,Inwood,New York City-Manhattan	,65037
Spring,Mapleton-Flatlands,New York City-Brooklyn	,64187
Spring,South Bronx,New York City-Bronx	,63208
Spring,Borough Park,New York City-Brooklyn	,56987
Spring,Ridgewood,New York City-Queens	,55921
Spring,Greenwood,New York City-Brooklyn	,51925
Spring,Nkew Gardens,New York City-Queens	,51455
Spring,Gravesend-Sheepshead Bay,New York City-Brooklyn	,47872
Spring,Sunset Park,New York City-Brooklyn	,47047
Spring,High Bridge,New York City-Bronx	,46972
Spring,Flushing,New York City-Queens	,46088
Spring,Jamaica,New York City-Queens	,38945
Spring,Maspeth,New York City-Queens	,37536
Spring,Utopia,New York City-Queens	,36962
Spring,Riverdale,New York City-Bronx	,26996
Spring,Woodhaven-Richmond Hill,New York City-Queens	,26314
Spring,Middle Village,New York City-Queens	,25308
Spring,East Brooklyn,New York City-Brooklyn	,22653
Spring,Bedford Park,New York City-Bronx	,22618
Spring,Canarsie,New York City-Brooklyn	,22128
Spring,Parkchester,New York City-Bronx	,21890
Spring,Bensonhurst,New York City-Brooklyn	,21713
Spring,Tremont,New York City-Bronx	,21549
Spring,Kings Bridge,New York City-Bronx	,20466
Spring,Brownsville,New York City-Brooklyn	,19081
Spring,Soundview,New York City-Bronx	,18758
Spring,Fordham,New York City-Bronx	,17604
Spring,Spuyten Duyvil,New York City-Bronx	,17472
Spring,Springfield Gardens,New York City-Queens	,16421
Spring,Morris Heights,New York City-Bronx	,16101
Spring,University Heights,New York City-Bronx	,15218
Spring,Queensboro Hill,New York City-Queens	,14452
Spring,Morris Park,New York City-Bronx	,14087
Spring,Dyker Heights,New York City-Brooklyn	,14001
Spring,Douglastown-Little Neck,New York City-Queens	,13090
Spring,Glendale,New York City-Queens	,12035
Spring,Wakefield-Williamsbridge,New York City-Bronx	,10063
Spring,Union Port,New York City-Bronx	,9341
Spring,Auburndale,New York City-Queens	,8730
Spring,Williams Bridge,New York City-Bronx	,8178
Spring,Woodlawn-Nordwood,New York City-Bronx	,8151
Spring,Throggs Neck,New York City-Bronx	,8065
Spring,Hunts Point,New York City-Bronx	,8037
Spring,Saintalbans,New York City-Queens	,7964
Spring,The Rockaways,New York City-Queens	,7172
Spring,Clearview,New York City-Queens	,6730
Spring,Laurelton,New York City-Queens	,6717
Spring,Queens Village,New York City-Queens	,6475
Spring,Country Club,New York City-Bronx	,6026
Spring,Baychester,New York City-Bronx	,3229
Spring,City Island,New York City-Bronx	,968
Spring,Corona,New York City-Queens	,891
Spring,Flatbush,New York City-Brooklyn	,426
Spring,Steinway,New York City-Queens	,150
Spring,Whitestone,New York City-Queens	,4
Spring,Howard Beach,New York City-Queens	,2
Spring,College Point,New York City-Queens	,1
Summer,Midtown,New York City-Manhattan	,11709575
Summer,Upper East Side,New York City-Manhattan	,8539340
Summer,Upper West Side,New York City-Manhattan	,5372837
Summer,Gramercy,New York City-Manhattan	,5238891
Summer,Chelsea,New York City-Manhattan	,4467565
Summer,Garment District,New York City-Manhattan	,3912278
Summer,Greenwich Village,New York City-Manhattan	,2659672
